,listing_id,counts
211,862199,117
7286,18734933,117
9266,21706069,117
4870,14582426,117
983,3878331,117
6249,16874018,117
3876,11909195,117
1364,4997337,117
669,2428212,117
7904,19855764,117
1819,6291034,117
1159,4503184,117
2047,7009847,116
7875,19787971,116
2345,8002670,116
5890,16394433,116
11363,24200857,116
4628,13902520,116
3501,10797510,116
4827,14433263,116
8509,20893575,116
13519,28615551,115
2811,9303086,115
6290,16948350,115
5678,16169460,115
6181,16769694,115
5489,15915130,115
2245,7697528,115
5794,16276313,115
721,2571693,115
8495,20879533,115
8595,20999080,115
806,3013563,115
3249,10166369,115
3879,11912966,115
9086,21540548,115
6142,16710638,115
6625,17565457,115
4498,13605113,115
8124,20257425,115
7876,19789786,115
4937,14825680,115
6835,17932908,115
12001,25380740,115
461,1822180,115
7993,20004507,115
894,3441367,115
5605,16073909,114
4654,13968724,114
1276,4803052,114
13577,28722931,114
8379,20719354,114
2501,8491087,114
11222,23958575,114
8724,21154059,114
1934,6634097,114
1564,5514054,114
5356,15690320,114
6117,16681152,114
7646,19376684,114
1084,4258803,114
5214,15436562,114
8783,21232818,114
5976,16482028,114
10230,22573304,114
2484,8446730,113
8090,20194743,113
11534,24525130,113
5929,16418324,113
1551,5500530,113
3959,12158975,113
1369,5005743,113
3944,12135847,113
10526,22992882,113
743,2680610,113
4376,13322208,113
3801,11681389,113
6504,17346824,113
11905,25169449,113
3081,9845976,113
1443,5205879,113
2817,9317033,113
3289,10254086,113
8298,20595496,113
2936,9596338,113
4053,12472991,113
3222,10122163,113
4588,13808507,113
3316,10303101,113
1518,5435101,113
362,1370173,113
844,3195648,113
8811,21257275,113
8438,20792711,112
5098,15179925,112
5245,15498867,112
7458,19026684,112
7245,18662902,112
5671,16162838,112
11099,23791351,112
5968,16469279,112
7244,18662721,112
8436,20791981,112
5727,16216644,112
4573,13777196,112
5594,16056610,112
57,257149,112
1583,5553882,112
2744,9098246,112
1603,5593537,112
4531,13679391,112
729,2615522,112
8784,21233342,112
3006,9701977,112
5167,15329940,112
8607,21004243,112
2133,7298735,112
1794,6171009,111
5093,15171798,111
2535,8590344,111
9113,21555736,111
8516,20904879,111
1344,4944134,111
10241,22589620,111
750,2717315,111
8837,21290848,111
9951,22308900,111
16,70328,111
4602,13842234,111
65,283257,111
4901,14718711,111
1034,4107563,111
5480,15894240,111
4081,12568145,111
6446,17228250,111
4268,13073414,111
6256,16885108,111
2654,8853460,111
4625,13891714,111
2948,9612993,110
320,1201338,110
5326,15637436,110
5279,15551901,110
6078,16625532,110
923,3571746,110
3648,11243951,110
6885,18015436,110
11354,24188651,110
2013,6855065,110
5389,15746900,110
6386,17100003,110
12081,25529082,110
5656,16143135,110
3461,10685799,110
2826,9330980,110
156,639260,110
3746,11510922,110
8604,21003128,109
262,986403,109
5272,15537910,109
5906,16399524,109
10500,22958696,109
8797,21247897,109
6521,17390527,109
1389,5053986,109
1676,5807543,109
2294,7873032,109
1747,6044038,109
3172,10022934,109
5007,14988307,109
895,3443643,109
2339,7992382,109
4343,13253489,109
11235,23980725,109
151,628156,109
5008,14993500,109
635,2333152,109
2891,9496330,109
3811,11722602,109
4943,14842965,109
5111,15208933,109
2512,8513851,108
493,1927123,108
5834,16325512,108
2661,8885425,108
11341,24163378,108
4009,12296724,108
9455,21875052,108
398,1568136,108
4985,14924546,108
5495,15922582,108
4941,14833595,108
5463,15873775,108
5622,16100046,108
93,415776,108
6027,16538148,108
2224,7651973,108
1725,5958518,108
6187,16773621,108
10371,22752734,108
6039,16563170,108
821,3071226,108
3781,11625339,108
327,1237261,108
8815,21260993,107
6870,17995833,107
1530,5469945,107
4769,14302100,107
668,2427388,107
12102,25590000,107
4140,12783954,107
3216,10107748,107
5766,16246857,107
2532,8571659,107
7333,18820655,107
7343,18832356,107
7182,18572646,107
3543,10914258,107
13414,28442349,107
8399,20752186,107
7555,19202969,107
3114,9890571,107
2624,8804154,107
5819,16312648,107
4617,13871632,107
4577,13788961,107
6252,16877489,107
9152,21598208,107
1637,5684857,106
7702,19506043,106
12428,26369000,106
5137,15258078,106
999,3972175,106
3039,9761258,106
12224,25949762,106
5471,15878281,106
13883,29251493,106
2727,9047868,106
8562,20964134,106
2530,8570923,106
6693,17689907,106
5392,15748020,106
2509,8511028,106
2193,7535085,106
8527,20922074,106
628,2301999,106
10592,23094793,106
9942,22306268,106
6617,17558892,106
4465,13520977,106
2159,7389620,106
386,1500598,106
3459,10684947,106
8144,20290337,106
3466,10695361,106
5899,16397591,106
1155,4487451,106
4470,13537376,105
2575,8690704,105
8450,20806109,105
1302,4848238,105
2065,7072468,105
434,1732959,105
10179,22509177,105
6577,17499480,105
748,2703431,105
13036,27715076,105
12984,27592372,105
967,3814396,105
1032,4102839,105
6371,17048027,105
3840,11806538,105
4871,14591709,105
5816,16304822,105
3498,10793712,105
14014,29463262,105
3520,10846372,105
5431,15808143,105
6700,17707891,105
296,1091282,105
781,2909200,105
7402,18918766,105
8111,20234115,105
7805,19684009,105
7828,19728968,105
7068,18352327,105
8254,20531025,105
8986,21451279,104
6970,18180716,104
5703,16193051,104
13065,27765834,104
4162,12819821,104
3470,10710371,104
7311,18779026,104
2213,7621372,104
4494,13591436,104
5783,16265452,104
8376,20717424,104
9603,22000904,104
